company_id,company_name,year,sector,sub_sector,sales,net_profit,return_on_equity_pct,roce_percentage,net_profit_margin_pct,debt_to_equity,interest_coverage,free_cash_flow_cr,capex_cr,dividend_payout_ratio_pct,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,sales_cagr_3yr,sales_cagr_5yr,pat_cagr_5yr,fcf_cagr_5yr,cfo_pat_ratio,composite_score,fcf_yield,operating_profit_margin_pct,asset_turnover,cluster_id,cluster_name,cluster_description
ABB,Abbott India Ltd,2024-03,Industrials,Capital Goods,5849,1201,32.46823465801568,46.0,20.533424517011454,0.022438496891051634,141.75,1095,4943,73.0,75.58,4.48,12.63,0.96,10.713721789385655,9.716101277290168,21.69314043381163,0.0,5.027477102414655,63.45636716367491,0.07127809977975783,24.84185330825782,1.1263238975544,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
ADANIENSOL,Adani Energy Solutions Ltd,2024-03,Energy,Power & Utilities,16607,1196,9.461276797721698,9.0,7.201782380923707,2.93252116130053,2.284784965666787,1095,4943,0.0,58.5,9.05,14.83,1.65,18.715011322879892,17.85124994851739,16.42972571572392,0.0,5.048494983277592,36.961748093652126,0.3141880794689826,34.38911302462817,0.2836960606785336,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
ADANIENT,Adani Enterprises Ltd,2024-03,Industrials,Conglomerates,96421,3335,8.534650424813185,11.6,3.458790097592848,1.671358378544375,2.7492864983534577,-8455,18767,5.0,58.87,10.41,33.01,0.83,34.60338228109774,19.015414753081238,45.81058899665285,0.0,3.0920539730134933,39.47857793141335,-4.499064189327432,11.799296833677312,0.6004321671876751,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
ADANIGREEN,Adani Green Energy Ltd,2024-03,Energy,Renewable Energy,9220,1260,12.812690665039659,96.5,13.665943600867678,6.595281675818589,1.713943268078306,-13347,21060,0.0,45.26,6.24,21.78,0.89,43.44099813858789,34.976172926382844,0.0,0.0,6.121428571428571,29.709833853414708,-2.61443014217979,79.3709327548807,0.10467043571055559,1,Leveraged / High Debt,Companies with high debt-to-equity ratio and lower operational performance.
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,2024-03,Industrials,Infrastructure,26711,8104,15.3548827162833,12.9,30.339560480700833,0.9373223691689719,5.949506037321624,8250,6768,16.0,48.9,2.31,31.76,1.16,28.631936311849437,19.57867595245697,14.909565182041629,37.789734468642024,1.8531589338598222,67.11400741113296,1.2211403642233938,58.36172363445772,0.22830109659056916,3,High-Quality Growth Compounder,Premium companies with superior return on equity and strong revenue growth.
ADANIPOWER,Adani Power Ltd,2024-03,Energy,Power & Utilities,50351,20829,48.27674122146251,32.2,41.36759945184802,0.8023177656738903,8.297225501770956,17651,3481,0.0,44.57,9.91,24.76,1.65,24.294797156226156,16.086096410440966,0.0,30.711180607907206,0.6803015027125642,80.70728436030137,1.2863439442922924,36.20186292228556,0.5472399439185297,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
AMBUJACEM,Ambuja Cements Ltd,2024-03,Materials,Cement,33160,4738,11.428984947896565,12.8,14.288299155609169,0.01686125048243921,28.264492753623188,-3295,8941,12.0,55.62,9.21,27.67,3.1,0.0,0.0,0.0,0.0,1.1916420430561419,31.047651138765573,-0.25713841204302407,19.300361881785282,0.5081135747230352,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
APOLLOHOSP,Apollo Hospitals Chain of Indian private hospitals,2024-03,Healthcare,Healthcare,19059,935,13.480392156862745,17.2,4.905818773282963,0.7688869665513264,5.565701559020044,383,1537,26.0,47.72,7.68,16.74,3.22,21.752736351876713,14.660042602193135,36.13077689773863,14.572241252408503,2.053475935828877,53.28818812634419,0.0200984200212211,12.56099480560365,1.1383944570541153,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
ASIANPAINT,Asian Paints Indian Multi-National Paint and Coating Manufacturing Company,2024-03,Materials,Paints & Coatings,35495,5558,29.677488252883382,41.75,15.658543456824905,0.1321016659547202,41.00487804878049,3556,2548,58.0,73.37,3.9,23.94,2.42,17.801037676951047,13.029660349453076,20.277362101955056,18.035870453634505,1.0982367758186398,65.35550159831844,0.16720543083991699,21.3692069305536,1.187084044011906,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
ATGL,Adani Total Gas Ltd,2024-03,Energy,Gas Distribution,4475,668,18.65921787709497,21.2,14.927374301675977,0.43491620111731844,10.504504504504505,0,0,4.0,56.96,5.76,28.93,0.51,38.18335427451367,21.08864867789759,23.8762916927858,0.0,0.0,49.39377299292403,0.0,24.670391061452516,0.6788531553398058,0,Steady Performers,"Moderate returns, reasonable growth, and standard leverage profiles."
